City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-yeniseyskiy,60.3725,93.0408,56.28,56,100,6.98,RU,1689210316
1,dryden,49.7833,-92.7503,70.09,46,0,9.22,CA,1689210316
2,nizhneudinsk,54.9076,99.0276,61.72,85,44,1.45,RU,1689210316
3,umuarama,-23.7664,-53.325,69.35,68,96,7.49,BR,1689210208
4,iqaluit,63.7506,-68.5145,47.93,93,100,12.66,CA,1689210317
5,hawaiian paradise park,19.5933,-154.9731,83.71,70,20,9.22,US,1689210317
6,ushuaia,-54.8,-68.3,38.86,52,0,12.66,AR,1689210112
7,freetown,8.484,-13.2299,78.51,83,75,10.36,SL,1689210317
8,taunsa,30.7048,70.6505,96.13,36,5,4.0,PK,1689210062
9,college,64.8569,-147.8028,70.59,60,100,1.01,US,1689210138
10,porto novo,6.4965,2.6036,76.82,92,100,5.5,BJ,1689210033
11,puerto natales,-51.7236,-72.4875,24.17,88,100,2.35,CL,1689210175
12,el calafate,-50.3408,-72.2768,20.25,75,100,1.63,AR,1689210318
13,carnarvon,-24.8667,113.6333,63.03,76,0,10.58,AU,1689210318
14,san patricio,28.017,-97.5169,89.46,71,20,18.14,US,1689210318
15,nuevo baztan,40.3673,-3.2413,77.45,33,95,6.22,ES,1689210319
16,grytviken,-54.2811,-36.5092,25.09,79,6,9.06,GS,1689210319
17,puerto ayora,-0.7393,-90.3518,78.55,91,76,5.01,EC,1689210232
18,ebon,4.582,168.6964,84.43,74,15,16.08,MH,1689210319
19,mejit,10.2753,170.8646,83.3,77,27,17.94,MH,1689210319
20,wailua homesteads,22.0669,-159.378,84.99,76,20,9.22,US,1689210319
21,port-aux-francais,-49.35,70.2167,38.55,73,37,37.74,TF,1689210320
22,olonkinbyen,70.9221,-8.7187,40.73,96,100,25.12,SJ,1689210320
23,klyuchi,52.2667,79.1667,82.99,36,1,4.25,RU,1689210320
24,dunedin,-45.8742,170.5036,51.8,73,100,8.99,NZ,1689209741
25,vorgashor,67.5833,63.95,46.04,59,0,10.8,RU,1689210320
26,bredasdorp,-34.5322,20.0403,46.13,88,1,3.76,ZA,1689210320
27,umluj,25.0213,37.2685,85.14,61,10,9.86,SA,1689210321
28,sisimiut,66.9395,-53.6735,57.6,73,77,4.03,GL,1689210321
29,farafangana,-22.8167,47.8333,64.26,67,77,7.45,MG,1689210321
30,yayva,59.3303,57.2641,64.18,98,93,6.85,RU,1689210321
31,carbondale,37.7273,-89.2168,86.29,72,0,13.8,US,1689210090
32,tralee,52.2704,-9.7026,53.55,92,81,6.29,IE,1689210321
33,waitangi,-43.9535,-176.5597,48.81,79,100,11.99,NZ,1689210322
34,port mathurin,-19.6833,63.4167,74.73,76,78,8.84,MU,1689210322
35,northam,51.0333,-4.2167,59.61,90,28,12.35,GB,1689210322
36,gorontalo,0.5412,123.0595,83.46,77,38,2.48,ID,1689210322
37,turaif,31.6725,38.6637,79.05,17,0,11.5,SA,1689210323
38,east london,-33.0153,27.9116,57.79,61,0,8.12,ZA,1689210323
39,port alfred,-33.5906,26.891,56.16,79,0,8.55,ZA,1689210323
40,mahanje,-9.9333,35.3333,56.8,83,100,2.3,TZ,1689210323
41,amursk,50.2261,136.8994,76.1,36,59,4.61,RU,1689210323
42,mar del plata,-38.0023,-57.5575,49.08,78,100,18.01,AR,1689210153
43,hermanus,-34.4187,19.2345,51.8,61,6,10.87,ZA,1689210324
44,ar ruways,24.1103,52.7306,90.34,66,100,11.45,AE,1689210324
45,ancud,-41.8697,-73.8203,45.05,77,100,9.48,CL,1689210324
46,male,4.1748,73.5089,82.35,89,20,6.91,MV,1689210324
47,marsh harbour,26.5412,-77.0636,85.1,70,99,4.76,BS,1689210317
48,taveta,-3.3963,37.6736,65.1,79,90,7.2,KE,1689210324
49,richards bay,-28.783,32.0377,56.43,84,0,5.23,ZA,1689210325
50,kalach-na-donu,48.691,43.5264,57.47,80,18,8.21,RU,1689210325
51,invercargill,-46.4,168.35,50.52,86,100,12.26,NZ,1689210325
52,port elizabeth,-33.918,25.5701,44.89,100,0,5.75,ZA,1689210325
53,papatowai,-46.5619,169.4708,49.78,86,100,13.82,NZ,1689210325
54,broken hill,-31.95,141.4333,55.47,45,73,10.87,AU,1689210326
55,lebu,-37.6167,-73.65,47.52,67,100,1.48,CL,1689210326
56,saint-pierre,-21.3393,55.4781,69.48,60,6,9.22,RE,1689210326
57,calama,-22.4667,-68.9333,54.09,26,0,8.05,CL,1689210060
58,enewetak,11.3474,162.3373,83.37,78,18,16.49,MH,1689210326
59,constantia,44.1833,28.65,70.7,84,100,13.47,RO,1689210091
60,bethel,41.3712,-73.414,81.48,71,0,4.61,US,1689210327
61,vila velha,-20.3297,-40.2925,73.94,82,0,18.41,BR,1689210327
62,praia da vitoria,38.7333,-27.0667,71.85,94,75,24.32,PT,1689210164
63,port blair,11.6667,92.75,82.44,83,20,4.61,IN,1689210327
64,isafjordur,66.0755,-23.124,42.44,86,92,10.83,IS,1689210327
65,bani walid,31.7566,13.9942,69.08,74,0,5.64,LY,1689210327
66,la'ie,21.6477,-157.9253,89.56,67,89,5.99,US,1689210328
67,vadso,70.0744,29.7487,68.88,67,100,10.36,NO,1689210328
68,ust-nera,64.5667,143.2,78.08,42,100,8.28,RU,1689210328
69,coahuayana de hidalgo,18.7,-103.6583,85.55,71,19,4.5,MX,1689210328
70,pokhara,28.2333,83.9833,73.47,92,100,1.23,NP,1689210328
71,namibe,-15.1961,12.1522,70.83,40,0,4.45,AO,1689210328
72,polyarnyy,69.1989,33.4478,56.12,61,100,11.16,RU,1689210329
73,hirara,24.8,125.2833,89.87,70,40,16.11,JP,1689210329
74,jamestown,42.097,-79.2353,71.19,100,75,0.0,US,1689210227
75,thompson,55.7435,-97.8558,57.36,82,100,3.44,CA,1689210118
76,obolensk,54.9774,37.2245,47.93,65,100,8.95,RU,1689210329
77,bilibino,68.0546,166.4372,72.1,36,0,6.93,RU,1689210329
78,happy valley-goose bay,53.3168,-60.3315,66.51,88,75,8.05,CA,1689210329
79,adamstown,-25.066,-130.1015,70.97,77,18,13.2,PN,1689210330
80,mount darwin,-16.7725,31.5838,43.57,91,2,3.22,ZW,1689210330
81,ola,59.5833,151.2833,55.15,89,100,7.36,RU,1689210330
82,margaret river,-33.95,115.0667,58.5,56,9,15.77,AU,1689210031
83,aasiaat,68.7098,-52.8699,39.38,98,100,6.96,GL,1689210330
84,nikolayevsk-on-amure,53.1406,140.73,80.76,33,10,3.74,RU,1689210331
85,atafu village,-8.5421,-172.5159,82.65,76,88,7.27,TK,1689210331
86,andovoranto,-18.95,49.1,68.22,78,97,15.59,MG,1689210331
87,rongelap,11.1635,166.8941,82.85,80,91,17.27,MH,1689210331
88,acarau,-2.8856,-40.12,78.98,82,0,15.26,BR,1689210331
89,djamaa,33.5339,5.9931,91.02,18,3,9.53,DZ,1689210332
90,valparaiso,-33.0393,-71.6273,59.0,65,0,4.61,CL,1689210332
91,khandyga,62.6667,135.6,75.16,65,97,4.34,RU,1689210332
92,inongo,-1.95,18.2667,71.01,74,99,4.29,CD,1689210332
93,blackmans bay,-43.0167,147.3167,59.74,63,100,9.55,AU,1689210332
94,georgetown,5.4112,100.3354,84.24,92,40,7.0,MY,1689210060
95,utrik,11.2278,169.8474,82.72,79,66,18.07,MH,1689210333
96,sheridan,44.8333,-106.9173,83.01,41,0,6.91,US,1689210265
97,talnakh,69.4865,88.3972,36.21,99,100,12.46,RU,1689210333
98,nishinoomote,30.7333,131.0,84.76,89,75,8.05,JP,1689210333
99,balqash,46.8481,74.995,79.39,34,0,13.42,KZ,1689210333
100,terrigal,-33.45,151.45,67.28,48,0,5.91,AU,1689210333
101,fort bragg,35.139,-79.006,85.73,70,0,10.36,US,1689210250
102,leh,34.1667,77.5833,54.0,33,91,10.04,IN,1689210334
103,nieuw nickerie,5.95,-56.9833,77.7,87,82,4.74,SR,1689210334
104,kismayo,-0.3582,42.5454,76.66,81,51,17.27,SO,1689210334
105,albany,42.6001,-73.9662,73.02,86,50,2.53,US,1689210064
106,okhotsk,59.3833,143.3,60.17,72,76,4.7,RU,1689210334
107,tromso,69.6496,18.957,64.38,67,19,2.3,NO,1689210334
108,pisco,-13.7,-76.2167,69.85,73,40,12.66,PE,1689210099
109,stettler,52.3168,-112.7186,65.95,72,100,18.41,CA,1689210054
110,gotsucho,35.0,132.2167,78.53,87,100,10.29,JP,1689210335
111,vicuna,-30.0319,-70.7081,51.53,32,100,7.74,CL,1689210185
112,krasnyy kholm,58.0607,37.1203,50.47,92,100,11.39,RU,1689210335
113,malabar,-33.9667,151.25,65.71,59,0,8.05,AU,1689210335
114,camayenne,9.535,-13.6878,78.89,94,75,6.91,GN,1689210335
115,jutai,-5.1833,-68.9,79.47,73,98,0.83,BR,1689210336
116,nyurba,63.2842,118.3319,64.02,55,9,6.67,RU,1689210336
117,yellowknife,62.456,-114.3525,82.92,26,40,16.11,CA,1689210098
118,balcarce,-37.8462,-58.2552,39.81,90,100,5.01,AR,1689210039
119,longyearbyen,78.2186,15.6401,48.04,71,75,14.97,SJ,1689210336
120,nuku'alofa,-21.1333,-175.2,73.74,73,75,13.8,TO,1689210336
121,edinburgh of the seven seas,-37.0676,-12.3116,56.73,88,100,18.1,SH,1689210337
122,kavieng,-2.5744,150.7967,83.3,76,97,13.2,PG,1689210337
123,hadibu,12.65,54.0333,77.83,81,66,23.69,YE,1689210137
124,yulinshi,38.2906,109.7494,67.26,58,100,13.29,CN,1689210337
125,lihue,21.9789,-159.3672,85.59,69,20,9.22,US,1689210240
126,portland,45.5234,-122.6762,86.0,48,20,9.22,US,1689210337
127,laascaanood,8.4774,47.3597,72.75,62,1,26.91,SO,1689210337
128,alva,56.1528,-3.8051,56.66,96,47,6.17,GB,1689210338
129,new norfolk,-42.7826,147.0587,60.93,60,86,9.37,AU,1689210338
130,filey,54.21,-0.2892,56.88,87,34,11.36,GB,1689210338
131,bom jesus do itabapoana,-21.1339,-41.6797,72.81,72,38,3.47,BR,1689210112
132,hithadhoo,-0.6,73.0833,82.09,76,69,7.92,MV,1689210338
133,krasnyy yar,46.5331,48.3456,67.96,70,19,8.41,RU,1689210338
134,la passe,45.5549,-0.8967,64.98,78,34,7.74,FR,1689210338
135,kingston,17.997,-76.7936,86.95,84,20,11.5,JM,1689210073
136,isangel,-19.55,169.2667,77.11,61,75,5.75,VU,1689210339
